,date_group,time_group,기온(°C),누적강수량(mm),풍속(m/s)
208,26일,15시,16.263333333333335,0.0,4.593333333333335
209,26일,16시,16.123333333333342,0.0,4.2266666666666675
210,26일,17시,15.871666666666648,0.0,4.165
211,26일,18시,15.893333333333329,0.0,3.853333333333334
212,26일,19시,15.84166666666665,0.0,4.003333333333334
213,26일,20시,15.698333333333343,0.0,3.78
214,26일,21시,15.711666666666684,0.0,3.7233333333333345
215,26일,22시,15.63500000000001,0.0,3.353333333333332
216,27일,05시,15.030000000000003,0.0,2.321666666666666
217,27일,06시,15.13833333333335,0.0,3.266666666666667
218,27일,07시,15.201666666666666,0.0,3.6633333333333327
219,27일,08시,15.54833333333334,0.0,3.6449999999999987
220,27일,09시,16.705000000000005,0.0,2.955
